movieId,userId,rating,timestamp,label,releaseYear,movieGenre1,movieGenre2,movieGenre3,movieRatingCount,movieAvgRating,movieRatingStddev,userRatedMovie1,userRatedMovie2,userRatedMovie3,userRatedMovie4,userRatedMovie5,userRatingCount,userAvgReleaseYear,userReleaseYearStddev,userAvgRating,userRatingStddev,userGenre1,userGenre2,userGenre3,userGenre4,userGenre5
1,11722,4.5,1074384878,1,1995,Adventure,Animation,Children,10759,3.91,0.89,364,589,480,161,"",4,1993,1.71,4.12,0.48,Drama,Thriller,Action,Adventure,Sci-Fi
1,12529,2.5,1164593318,0,1995,Adventure,Animation,Children,10759,3.91,0.89,356,858,318,902,"",6,1985,15.15,3.50,0.71,Drama,Romance,Crime,Comedy,War
1,27108,3.0,865275011,0,1995,Adventure,Animation,Children,10759,3.91,0.89,780,648,736,"","",6,1995,0.41,3.67,1.21,Action,Adventure,Thriller,Romance,Mystery
1,9583,4.0,1158170944,1,1995,Adventure,Animation,Children,10759,3.91,0.89,"","","","","",2,1974,28.99,2.75,0.35,"","","","",""
110,18556,4.0,1305907265,1,1995,Action,Drama,War,11637,4.04,0.97,"","","","","",3,1992,3.06,1.67,1.26,"","","","",""
110,9586,5.0,1192554856,1,1995,Action,Drama,War,11637,4.04,0.97,597,260,47,457,593,30,1993,3.57,4.20,0.74,Adventure,Thriller,Drama,Comedy,Action
111,27990,5.0,1197546406,1,1976,Crime,Drama,Thriller,5305,4.12,0.85,608,441,47,858,592,16,1992,5.84,3.34,1.15,Drama,Crime,Thriller,Comedy,Adventure
112,20219,4.0,867629703,1,1995,Action,Adventure,Comedy,2577,3.41,0.95,260,733,786,62,648,20,1994,4.17,3.20,0.95,Thriller,Action,Adventure,Mystery,Sci-Fi
135,20428,3.0,853612842,0,1996,Comedy,"","",1390,3.00,1.06,628,104,786,788,494,11,1996,0.00,3.55,0.93,Thriller,Action,Adventure,Romance,Comedy
150,17686,1.5,1195553532,0,1995,Adventure,Drama,IMAX,10324,3.86,0.86,18,"","","","",7,1994,0.98,2.71,1.22,Comedy,"","","",""
150,25555,5.0,841924113,1,1995,Adventure,Drama,IMAX,10324,3.86,0.86,590,"","","","",2,1989,0.71,4.00,1.41,Adventure,Drama,Western,"",""
153,13610,2.0,1212215431,0,1995,Action,Adventure,Comedy,7100,2.89,0.95,480,648,780,457,593,16,1992,5.44,3.47,0.87,Thriller,Action,Sci-Fi,Adventure,Mystery
153,23459,2.0,1025413992,0,1995,Action,Adventure,Comedy,7100,2.89,0.95,521,"","","","",2,1993,0.71,2.50,2.12,Crime,Thriller,"","",""
153,27248,3.0,962882889,0,1995,Action,Adventure,Comedy,7100,2.89,0.95,517,648,555,480,198,100,1990,11.01,3.36,0.77,Drama,Thriller,Comedy,Romance,Action
153,28135,4.0,850846155,1,1995,Action,Adventure,Comedy,7100,2.89,0.95,597,454,277,350,592,46,1993,3.97,3.85,0.79,Drama,Comedy,Thriller,Romance,Action
153,9009,3.0,1141747914,0,1995,Action,Adventure,Comedy,7100,2.89,0.95,344,368,500,953,590,29,1989,13.35,3.24,0.64,Drama,Comedy,Romance,Thriller,Adventure
154,1159,4.0,1018343064,1,1967,Drama,"","",671,3.81,0.91,50,965,111,"","",3,1968,30.66,5.00,0.00,Thriller,Crime,Drama,Mystery,""
16,13865,4.0,846462452,1,1995,Crime,Drama,"",3846,3.81,0.85,508,50,19,47,454,31,1993,1.61,3.45,0.62,Thriller,Drama,Action,Crime,Comedy
160,11888,4.0,845674792,1,1995,Action,Adventure,Mystery,3235,2.60,1.01,39,539,410,597,589,51,1993,1.56,3.31,0.95,Comedy,Thriller,Drama,Action,Romance
162,23843,4.0,839631925,1,1994,Documentary,"","",1303,4.05,0.95,563,73,515,159,261,81,1992,6.96,3.75,1.10,Drama,Romance,Comedy,Thriller,Children
174,2162,3.0,836418878,0,1995,Comedy,"","",450,2.43,1.09,362,594,169,376,5,76,1992,7.17,3.58,1.02,Drama,Adventure,Romance,Action,Comedy
19,18333,2.0,945582554,0,1995,Comedy,"","",4501,2.62,1.16,378,339,587,367,586,21,1994,1.71,2.86,1.39,Comedy,Romance,Drama,Fantasy,War
19,4821,4.0,836076056,1,1995,Comedy,"","",4501,2.62,1.16,34,317,47,410,253,20,1993,1.58,3.90,1.12,Drama,Comedy,Crime,Thriller,Action
2,23843,5.0,839631223,1,1995,Adventure,Children,Fantasy,4853,3.21,0.96,350,11,440,527,586,58,1993,1.54,3.53,1.13,Drama,Thriller,Comedy,Romance,Adventure
21,17686,4.5,1195555087,1,1995,Comedy,Crime,Thriller,5164,3.58,0.93,39,253,539,587,500,41,1992,7.74,2.96,1.47,Comedy,Drama,Romance,Thriller,Adventure
216,18333,2.0,945581301,0,1995,Comedy,"","",1867,3.22,1.14,500,356,"","","",4,1993,1.29,4.00,1.15,Comedy,Drama,Romance,War,""
223,27248,4.0,962883375,1,1994,Comedy,"","",5102,3.86,0.97,517,648,555,480,198,100,1991,11.02,3.33,0.78,Drama,Thriller,Romance,Comedy,Action
231,22596,3.0,835734834,0,1994,Adventure,Comedy,"",7051,2.93,1.21,150,"","","","",5,1992,2.88,3.20,1.10,Adventure,Drama,IMAX,"",""
